来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,专业组出现ID,专业组源行号,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,来源页码,版面列,专业组标题行号,OCR专业行数_组表,专业明细行数_专业表,专业行数是否一致,规范化专业组代码是否重复,规范化专业组代码重复行数,唯一专业代号数,空专业代号数,相对质量层级,复核优先级,优先级原因代码,优先级原因说明,组字段完整性标记,结构异常数,高严重结构异常数,中严重结构异常数,结构异常规则ID列表,结构异常类型列表,字段完整性问题数,缺再选科目专业数,缺计划数专业数,缺学费专业数,非纯数字计划数专业数,计划数>=1000专业数,非纯数字学费专业数,学费<=500专业数,学费超过预算专业数,异常学费专业数,偏好专业命中数,偏好方向列表,硬风险命中,硬风险类型列表,候选池V1命中,样本学校命中,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-6dd4437643c7a4e4,12,A004,北京交通大学,A00411,11,A00411/北京交通大学第11组,11,right,176,1,1,是,否,1,1,0,Q4-结构相对完整待抽检,P0-必须优先核页,P0-必须优先核页,命中风险标签,plan_count_not_plain_number;tuition_over_15000,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-5167e604728efb59,13,A004,北京交通大学,A00412,12,A00412/北京交通大学第12组,11,right,182,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题1项；命中风险标签,missing_subject_candidate;plan_count_not_plain_number,1,1,0,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,1,1,0,0,0,0,0,0,0,0,0,,是,中外合作或高收费；专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-eb69b790b7277d80,14,A006,北京航空航天大学,A00603,03,A00603/北京航空航天大学第 03 组,11,right,194,10,10,是,否,1,10,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,中严重度结构异常1条；字段完整性/纯数字问题11项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,1,0,1,low_ocr_confidence,OCR置信度低,11,8,1,0,1,0,0,0,0,0,4,计算机类相关,是,体检或色觉限制；医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-fbb82bbef03da452,15,A006,北京航空航天大学,A00604,04,A00604北京航空航天大学第 04 组,12,left,38,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题2项；异常学费1项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,1,1,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,2,0,1,0,1,0,0,1,0,1,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-f1c561f05ce892a8,16,A006,北京航空航天大学,A00605,05,A00605 北京航空航天大学第05组,12,left,47,1,1,是,否,1,1,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题2项；命中当前偏好专业方向；命中风险标签,tuition_not_plain_number;tuition_over_15000,0,0,0,,,2,0,1,0,1,0,0,0,1,0,1,计算机类相关,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-60b0525518e8e6f2,17,A006,北京航空航天大学,A00606,06,A00606北京航空航天大学第06组,12,left,55,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；中严重度结构异常1条；字段完整性/纯数字问题7项；命中风险标签,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number,2,1,1,low_ocr_confidence；major_text_embeds_other_school_marker,OCR置信度低；专业名称疑似串入下一院校,7,2,2,0,2,0,0,0,0,0,0,,是,专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-40b6e780f7219833,18,A007,北京理工大学,A00704,04,A00704/北京理工大学第04 组,12,left,69,10,10,是,否,1,10,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常7条；中严重度结构异常4条；字段完整性/纯数字问题30项；异常学费7项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,11,7,4,low_ocr_confidence；major_code_not_two_chars；major_text_embeds_page_header；tuition_number_le_500,OCR置信度低；专业代号疑似漏位或误识别；专业名称疑似串入页眉或栏目文字；学费数字疑似吞入计划数或截断,30,8,10,0,10,0,0,7,0,7,6,计算机类相关,是,医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-e4c1408fd3d80d67,19,A007,北京理工大学,A00705,05,A00705 北京理工大学第05组,12,right,187,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；字段完整性/纯数字问题5项；异常学费2项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number,2,2,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,5,1,2,0,2,0,0,2,0,2,0,,是,中外合作或高收费,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-ca4142ea5b92b9b9,20,A007,北京理工大学,A00706,06,「A00706/北京理工大学第06组,12,right,192,3,3,是,否,1,3,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；中严重度结构异常1条；字段完整性/纯数字问题8项；异常学费2项；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,3,2,1,major_text_embeds_page_header；tuition_number_le_500,专业名称疑似串入页眉或栏目文字；学费数字疑似吞入计划数或截断,8,2,3,0,3,0,0,2,1,2,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-2d64cc96ff4c594d,21,A007,北京理工大学,A00707,07,A00707|北京理工大学第 07 组,13,left,6,3,3,是,否,1,3,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；中严重度结构异常1条；字段完整性/纯数字问题5项；命中风险标签,plan_count_not_plain_number,3,2,1,low_ocr_confidence；major_text_embeds_other_school_marker；plan_count_number_ge_1000,OCR置信度低；专业名称疑似串入下一院校；专业计划数疑似吞入学费或备注,5,2,0,1,0,1,1,0,0,0,0,,是,医学/护理等排除方向；专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-72f6dc37457df6a5,22,A008,北京科技大学,A00804,04,A00804|北京科技大学第04组,13,left,42,1,1,是,否,1,1,0,Q4-结构相对完整待抽检,P0-必须优先核页,P0-必须优先核页,命中当前偏好专业方向,plan_count_not_plain_number,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-d27899118686794e,23,A008,北京科技大学,A00805,05,A00805/北京科技大学第05组,13,left,50,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；中严重度结构异常1条；字段完整性/纯数字问题6项,plan_count_not_plain_number;missing_tuition_candidate,3,2,1,low_ocr_confidence；plan_count_number_ge_1000,OCR置信度低；专业计划数疑似吞入学费或备注,6,1,0,2,0,2,2,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-a7e44dc9e9db9533,24,A008,北京科技大学,A00806,06,A00806/北京科技大学第06组,13,left,59,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题2项,plan_count_not_plain_number;missing_tuition_candidate,1,1,0,plan_count_number_ge_1000,专业计划数疑似吞入学费或备注,2,0,0,1,0,1,1,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-ec1fec4d0ade6629,25,A008,北京科技大学,A00807,07,A00807北京科技大学第07组,13,left,68,1,1,是,否,1,1,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,中严重度结构异常1条；字段完整性/纯数字问题3项；命中当前偏好专业方向,plan_count_not_plain_number;missing_tuition_candidate,1,0,1,low_ocr_confidence,OCR置信度低,3,0,0,1,0,0,1,0,0,0,1,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-bfe8e6c311be4fbb,26,A008,北京科技大学,A00808,08,A00808/北京科技大学第08 组,13,left,76,8,8,是,否,1,8,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常5条；字段完整性/纯数字问题25项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,5,5,0,plan_count_number_ge_1000,专业计划数疑似吞入学费或备注,25,7,3,6,3,5,6,0,0,0,1,计算机类相关,是,医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-229765a7d6bb0c2f,27,A008,北京科技大学,A00809,09,A00809/北京科技大学第09组,13,right,141,8,8,是,否,1,8,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；中严重度结构异常2条；字段完整性/纯数字问题26项；命中当前偏好专业方向,missing_subject_candidate;missing_plan_count_candidate,3,1,2,low_ocr_confidence；major_text_embeds_other_school_marker,OCR置信度低；专业名称疑似串入下一院校,26,8,8,0,8,0,0,0,0,0,1,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-18103f8f6bb8f1cf,28,A010,北京化工大学,A01002,02,AO1002/北京化工大学第 02组,13,right,172,2,2,是,否,1,2,0,Q3-字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题6项,missing_subject_candidate,0,0,0,,,6,2,2,0,2,0,0,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-ae5ede2e73a272bc,29,A010,北京化工大学,A01003,03,A01003/北京化工大学第03组,13,right,178,5,5,是,否,1,5,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,中严重度结构异常1条；字段完整性/纯数字问题5项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,1,0,1,major_text_embeds_page_header,专业名称疑似串入页眉或栏目文字,5,5,0,0,0,0,0,0,0,0,2,计算机类相关,是,体检或色觉限制,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-926f92e7cd42290f,30,A010,北京化工大学,A01004,04,A01004 北京化工大学第 04组,14,left,22,5,5,是,否,1,5,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常4条；字段完整性/纯数字问题15项；异常学费4项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number,4,4,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,15,5,5,0,5,0,0,4,0,4,0,,是,体检或色觉限制；医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-9122595fe47db909,31,A010,北京化工大学,A01005,05,A01005/北京化工大学第05组,14,left,40,8,8,是,否,1,8,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常4条；字段完整性/纯数字问题24项；异常学费4项；命中当前偏好专业方向,missing_plan_count_candidate;tuition_not_plain_number,4,4,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,24,8,8,0,8,0,0,4,0,4,2,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-e6775d9ba0b02b75,32,A010,北京化工大学,A01006,06,A01006/北京化工大学第06 组,14,left,65,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题6项；异常学费1项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,1,1,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,6,2,2,0,2,0,0,1,1,1,0,,是,体检或色觉限制；中外合作或高收费；医学/护理等排除方向；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-7a7d7155051dac97,33,A010,北京化工大学,A01007,07,AO1007|北京化工大学第07组,14,left,77,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题3项；异常学费1项；命中风险标签,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,1,1,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,3,1,1,0,1,0,0,1,0,1,0,,是,专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-6e152bd5ce409915,34,A010,北京化工大学,A01008,08,A01008北京化工大学第08组,14,left,81,1,1,是,否,1,1,0,Q3-字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题2项；命中风险标签,missing_plan_count_candidate,0,0,0,,,2,0,1,0,1,0,0,0,0,0,0,,是,专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-3a0c940c9affcb18,35,A010,北京化工大学,A01009,09,A01009 北京化工大学第09 组,14,left,84,11,11,是,否,1,11,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常6条；中严重度结构异常4条；字段完整性/纯数字问题33项；异常学费5项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,10,6,4,low_ocr_confidence；major_text_embeds_other_school_marker；major_text_embeds_page_header；tuition_number_le_500,OCR置信度低；专业名称疑似串入下一院校；专业名称疑似串入页眉或栏目文字；学费数字疑似吞入计划数或截断,33,7,11,0,11,0,0,5,0,5,5,计算机类相关,是,专项/预科/定向等特殊类型；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-c44ddb7976ec8085,36,A013,北京邮电大学,A01304,04,A01304/北京邮电大学第04组,14,right,187,4,4,是,否,1,4,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常8条；字段完整性/纯数字问题20项；异常学费8项；命中当前偏好专业方向；命中风险标签,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,8,8,0,tuition_not_plain_number；tuition_number_le_500,学费字段非纯数字；学费数字疑似吞入计划数或截断,20,4,4,0,4,0,4,4,0,8,2,计算机类相关,是,中外合作或高收费,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
