高校官网辅证机会ID,来源高校侧辅证刷新公开账本,来源B0B1官方源缺口优先表,来源C4C6高校源刷新执行包,来源C4C6结构化候选diff公开账本,来源C4C6高校官网补源尝试账本,来源高校官网补源种子表,来源湖北官方公开入口活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,机会优先级,机会类型,自动收益分,院校代码,院校名称OCR,官网辅证自动动作,高校侧刷新批次,高校侧刷新任务类型,闭环优先级,官网证据强度,官网来源状态,来源文件类型集合,公开来源文件数量,公开来源URL数量,涉及招生明细数,涉及专业组数,涉及PDF页数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,B0B1缺口优先级,B0B1缺口类型,B0B1逐专业核验任务数,C4C6执行包数量,C4C6执行泳道集合,C4C6执行优先级集合,C4C6需补结构化明细数,C4C6需继续补源明细数,C4C6结构化diff优先级集合,C4C6综合结构化官网证据行数,C4C6专业名匹配明细数,C4C6未匹配明细数,C4C6无结构化官网源明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6可生成候选diff明细数,最新自动探针状态,最新自动探针摘要,候选官网URL数量,候选官网URL集合SHA256,种子官网URL数量,种子官网URL集合SHA256,本地公开来源文件集合SHA256,来源质量判断,自动化下一步,人工最小核验动作,保真边界,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,公开安全策略,下一步
SCHOOLOPP-be6ad97014b0fe3b,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,11,P0-立即处理,O0-冲突优先回页核验,380,H450,山东工商学院,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,19,2,1,0,0,0,19,0,0,0,0,,,0,1,X3-C4已有部分来源待结构化,03-P1结构化,19,0,D0-存在计划数冲突需优先核PDF原页,24,8,11,0,5,1,2,8,,,0,,1,55cf82bd0d9890ceccd4634f950b25ea6c07f0ceaab55da717f22ebc68f5d4e2,6aae64a69a655f9f45eaf3593ad151cb77c6a5160c6abfbcc60947f0412814e5,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-1e8bc4ac7f97ca33,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,12,P0-立即处理,O0-冲突优先回页核验,371,A032,北京语言大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,11,3,1,0,0,0,11,0,0,0,0,P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,1,1,X3-C4已有部分来源待结构化,03-P1结构化,11,0,D0-存在计划数冲突需优先核PDF原页,14,9,2,0,2,2,5,9,structured_source_retained_parser_or_match_rule_needed,已留存北京语言大学招生系统 API 原始 JSON；C4 包命中 9 条，C6 单条仍未匹配，需核专业名或规则。,1,a45671d1fd5eb280f883e7adc1d8a8d0341f63bb451d3b5066b9133d5fbd842b,1,a45671d1fd5eb280f883e7adc1d8a8d0341f63bb451d3b5066b9133d5fbd842b,b3d8a4e289127a4ddebfafe3fb2b435b00a988be127b30d2adc51aead7b49a4c,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,人工只核 C6 未匹配行、计划数冲突行和新增源命中抽检。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-d0a3de0e9e7e2caa,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,13,P0-立即处理,O0-冲突优先回页核验,360,F902,江苏理工学院,C0-冲突先核PDF原页和湖北官方系统,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突立即核,conflict_review,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,10,1,1,10,0,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,945ec322c9f2e61190c95082372cb3f25c6464926d139072c9ece6c7c423c1a0,fdcda6f3c0c76441e00de6e03d961a243d9f2d9ae9cda0f7ab1b96c413d1f5ed,Q6-来源质量待补充,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-c8d0fb5633527538,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,14,P0-立即处理,O3-高收益缺源学校优先补源,313,K179,成都师范学院,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,6,6,2,0,0,0,0,6,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,2,1,X0-C6无官网计划入口需搜索,00-P0补源,0,6,D6-无入口需继续搜索高校官网计划源,0,0,0,6,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,7f3b7bc00584b078b4d5c5ebd5e46cea735c0517b17a527c8ccc46a305d96a14,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-53f606b6e70d5354,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,15,P0-立即处理,O3-高收益缺源学校优先补源,313,K487,西安航空学院,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,6,4,1,0,0,0,0,6,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,3,1,X0-C6无官网计划入口需搜索,00-P0补源,0,6,D6-无入口需继续搜索高校官网计划源,0,0,0,6,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,1,081606f4249c2372a07ab9f3504ecce96ca31d56c8c5e010b9ea5bb113d9fe6c,0,,50be90b2796c49a8909efd7d5fba21d4923ca04eef2ebbe7b1c39e08585d71ba,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-d0e9bcfe71c0b9c3,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,16,P0-立即处理,O1-官网补缺候选回页核验,290,H450,山东工商学院,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,10,1,1,0,10,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,55cf82bd0d9890ceccd4634f950b25ea6c07f0ceaab55da717f22ebc68f5d4e2,84b2c39c53ef879056ecbf7347a4d77e1bc2f736921eecb17b850fd9192f5e5c,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
SCHOOLOPP-7bac7cfa924cad35,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,17,P0-立即处理,O3-高收益缺源学校优先补源,285,H775,韶关学院,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,5,5,1,0,0,0,0,5,0,0,0,P0-待补官方计划源,需继续寻找高校官网湖北2026计划,1,1,X0-C6无官网计划入口需搜索,00-P0补源,0,5,D6-无入口需继续搜索高校官网计划源,0,0,0,5,0,0,0,0,no_seed_need_official_source_search,当前 C4/C6 包无高校官网计划入口种子；需优先搜索学校本科招生网 2026 湖北物理普通本科计划源。,0,,0,,03bd071b08736e17376b78d0b28aa553a23c42d77bf4988fa3314c5ad2b1d537,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
SCHOOLOPP-e5e08b6ddb14cd1e,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,18,P0-立即处理,O1-官网补缺候选回页核验,232,A033,中国传媒大学,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,8,2,1,0,8,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,79e5838faa49b52e0fe3035444c1dcdb3a791678605cd63e64273bef4b2af1f4,5e823d0b2b2a800a9adbcc6811063e8770bd9c65e73ac04841d401bf7745214c,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
SCHOOLOPP-7fe98c3bbfeed774,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,19,P0-立即处理,O2-官网专业名未匹配先补规则,228,C108,江汉大学,C7-官网源未匹配专业需人工确认专业名,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,部分来源待结构化,0,1,12,2,1,0,0,0,0,0,0,12,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,64007f21740966e877fb893e51748445f79e9d88ce56f97bc6479134346dbd49,cd372fb85148700fa88095e3492d3f9f5beb43e555e5ff26d95f5a6adc36f8e6,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
SCHOOLOPP-1e3cadf463617ae8,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,20,P0-立即处理,O0-冲突优先回页核验,220,H001,杭州电子科技大学,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,9,4,1,0,0,0,9,0,0,0,0,,,0,1,X3-C4已有部分来源待结构化,03-P1结构化,9,0,D0-存在计划数冲突需优先核PDF原页,21,8,1,0,6,1,1,8,,,0,,1,49a27a0db6f55284970daee361d741f98a49e9d7a07c8178a35d71324bd61e13,3086afe35f3fb75374bc6b09e78c31d9f1dc497d679e9cdd6daf29ce1bcd5b4a,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
SCHOOLOPP-eed5cf40ab07da6c,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,21,P0-立即处理,O1-官网补缺候选回页核验,203,A195,兰州大学,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,7,1,1,0,7,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,496f2d279b3532bf62b47b5aa2dba9ac62260ca92420c2da9586411471ba1ca8,217edd02e38d1e43dcd042db48e67eed70877cb6ceac79f655fc7d48353c46fd,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
SCHOOLOPP-6051806cdd8b222b,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,22,P0-立即处理,O1-官网补缺候选回页核验,116,F305,忻州师范学院,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,4,1,1,0,4,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,18a09ad624a3066e4d4218fbcfc2ad38d274cba515d4d4ed7db11b8946cb6239,c0fcdb9fb67a94f47737a7ca80f8236fa3b82d8aed1da3800e8fac3bdf2a6600,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
SCHOOLOPP-3d997dc4e7ce175c,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-b0-b1-official-source-gap-priority.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_school_source_opportunity_queue,高校×高校侧辅证动作,自动辅证机会,false,false,false,false,false,false,false,false,23,P0-立即处理,O1-官网补缺候选回页核验,116,K153,成都信息工程大学,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,HTML,1,1,4,1,1,0,4,0,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,0,,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,7a1d17a34323bb81dc6e7016fe5a411e41cd0c2f197c8f08288902b45d979530,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,公开层只保存学校级计数、URL集合SHA、来源SHA和自动化状态；不保存逐专业字段读数、OCR原文、人工记录或登录态。,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
